35A;268580018,7;NOME2;12014;20143;DCC179;88;Aprovado
35A;268580018,7;NOME2;12014;20143;MAT154;66;Aprovado
35A;268580018,7;NOME2;12014;20143;MAT155;83;Aprovado
35A;268580020;NOME2;12014;20071;FIS073;60;Aprovado
35A;268580020;NOME2;12014;20071;FIS077;86;Aprovado
35A;268580020;NOME2;12014;20081;FIS075;64;Aprovado
35A;268580020;NOME2;12014;20083;DCC008;95;Aprovado
35A;268580020;NOME2;12014;20143;DCC119;95;Aprovado
35A;268580020;NOME2;12014;20143;DCC120;95;Aprovado
35A;268580020;NOME2;12014;20143;DCC160;69;Aprovado
35A;268580020;NOME2;12014;20143;DCC163;DISP;Dispensado
35A;268580020;NOME2;12014;20143;DCC175;94;Aprovado
35A;268580020;NOME2;12014;20143;DCC179;93;Aprovado
35A;268580020;NOME2;12014;20143;EADDCC044;79;Aprovado
35A;268580020;NOME2;12014;20143;EST029;DISP;Dispensado
35A;268580020;NOME2;12014;20143;MAT029;DISP;Dispensado
35A;268580020;NOME2;12014;20143;MAT154;DISP;Dispensado
35A;268580020;NOME2;12014;20143;MAT155;DISP;Dispensado
35A;268580020;NOME2;12014;20143;MAT156;DISP;Dispensado
35A;268580020;NOME2;12014;20143;MAT157;DISP;Dispensado
35A;268580020;NOME2;12014;20143;MAT158;DISP;Dispensado
35A;268580022,7;NOME2;12014;20143;DCC119;98;Aprovado
35A;268580022,7;NOME2;12014;20143;DCC120;98;Aprovado
35A;268580022,7;NOME2;12014;20143;DCC160;87;Aprovado
35A;268580022,7;NOME2;12014;20143;DCC175;82;Aprovado
35A;268580022,7;NOME2;12014;20143;DCC179;92;Aprovado
35A;268580022,7;NOME2;12014;20143;FIS077;74;Aprovado
35A;268580022,7;NOME2;12014;20143;MAT155;62;Aprovado
35A;268580024;NOME2;12014;20143;DCC119;42;Rep Nota
35A;268580024;NOME2;12014;20143;DCC120;42;Rep Nota
35A;268580024;NOME2;12014;20143;DCC160;50;Rep Nota
35A;268580024;NOME2;12014;20143;DCC175;90;Aprovado
35A;268580024;NOME2;12014;20143;DCC179;67;Aprovado
35A;268580024;NOME2;12014;20143;MAT154;9;Rep Nota
35A;268580024;NOME2;12014;20143;MAT155;34;Rep Nota
35A;268580026,7;NOME2;12014;20143;DCC119;29;Rep Nota
35A;268580026,7;NOME2;12014;20143;DCC120;29;Rep Freq
35A;268580026,7;NOME2;12014;20143;DCC160;22;Rep Nota
35A;268580026,7;NOME2;12014;20143;DCC175;48;Rep Nota
35A;268580026,7;NOME2;12014;20143;DCC179;0;Rep Nota
35A;268580026,7;NOME2;12014;20143;MAT154;;Rep Freq
35A;268580026,7;NOME2;12014;20143;MAT155;16;Rep Nota
35A;268580028;NOME2;12014;20143;DCC119;RI;Rep Freq
35A;268580028;NOME2;12014;20143;DCC120;11;Rep Freq
35A;268580028;NOME2;12014;20143;DCC160;0;Rep Freq
35A;268580028;NOME2;12014;20143;DCC175;RI;Rep Freq
35A;268580028;NOME2;12014;20143;DCC179;;Rep Freq
35A;268580028;NOME2;12014;20143;MAT154;11;Rep Nota
35A;268580028;NOME2;12014;20143;MAT155;15;Rep Nota
35A;268580029,3;NOME2;12014;20143;DCC119;RI;Rep Freq
35A;268580029,3;NOME2;12014;20143;DCC120;0;Rep Freq
35A;268580029,3;NOME2;12014;20143;DCC160;0;Rep Freq
35A;268580029,3;NOME2;12014;20143;DCC175;RI;Rep Freq
